system:index,LST,NDBI,NDVI,NDWI,zone_id,.geo,city,ndvi_n,lst_n,ndbi_n,ndwi_n,tree_category,income_score,income_n,priority_score,water_ok,reason
3,302.0027379807855,0.0360499383334154,0.286440945394299,-0.3517566141971168,Z4,"{""type"":""Polygon"",""coordinates"":[[[77.71999989155216,12.85000108375014],[77.71999989155216,13.000000785778987],[77.63999920457495,13.00000076465603],[77.63999920457495,12.850001054279687],[77.71999989155216,12.85000108375014]]]}",bangalore_features,0.532657651192662,0.6024843041887323,0.8004853799184535,0.32510932953111155,Medium,0.21233911067827616,0.7876608893217238,0.6359178325883862,True,"Low tree cover, Dense urban area, Low income area"
1,306.8204511776133,0.0215546255488444,0.2688037554385784,-0.3245656460245161,Z2,"{""type"":""Polygon"",""coordinates"":[[[78.46000108025841,17.300001090066623],[78.46000108025841,17.450000837772027],[78.3800003784321,17.450000768699528],[78.3800003784321,17.300001100243428],[78.46000108025841,17.300001090066623]]]}",hyderabad_features,0.4999206538024121,0.765691495197534,0.7566158604019079,0.3662991644837803,Medium,0.4951769101112702,0.5048230898887298,0.6192737582483141,True,"Low tree cover, High temperature, Dense urban area, Low income area"
7,307.813049539871,0.0787584908234937,0.2475744796486849,-0.3418365516518402,Z8,"{""type"":""Polygon"",""coordinates"":[[[73.79200009178608,18.449998810126765],[73.79200009178608,18.519997792167175],[73.77799847097619,18.519997780706742],[73.77799847097619,18.44999881228124],[73.79200009178608,18.449998810126765]]]}",mumbai_features,0.4605162618400053,0.7993172391730542,0.9297412093601743,0.34013658918462514,Medium,0.7555511385430487,0.24444886145695133,0.6160117260182157,True,"Low tree cover, High temperature, Dense urban area"
5,307.73986530689007,0.0487854026782618,0.2628327844798255,-0.3410538477025492,Z6,"{""type"":""Polygon"",""coordinates"":[[[78.3800003784321,17.450000768699528],[78.3800003784321,17.600000481302104],[78.29999966915584,17.6000004925567],[78.29999966915584,17.45000084831652],[78.3800003784321,17.450000768699528]]]}",hyderabad_features,0.48883772839396006,0.7968380145693953,0.8390287842541776,0.3413222566563919,Medium,0.662522284353982,0.33747771564601803,0.6117758202258519,True,"Low tree cover, High temperature, Dense urban area"
4,301.85274849834093,-0.1110571837493264,-0.0005305218866603,0.0937642470005971,Z5,"{""type"":""Polygon"",""coordinates"":[[[80.30000008286758,12.950000861651985],[80.30000008286758,13.074998377330607],[80.26000200905669,13.07499839965535],[80.26000200905669,12.950000841769016],[80.30000008286758,12.950000861651985]]]}",chennai_features,0.0,0.5974031876692257,0.35527120212569074,1.0,Low,0.45606998421703593,0.5439300157829641,0.6114274803927529,True,"Low tree cover, Low income area"
3,305.02388241485625,-0.0207044855240102,0.275460069954301,-0.2915223219283726,Z4,"{""type"":""Polygon"",""coordinates"":[[[80.26000200905669,12.950000841769016],[80.26000200905669,13.07499839965535],[80.21999934834353,13.074998375988047],[80.21999934834353,12.950000914789047],[80.26000200905669,12.950000841769016]]]}",chennai_features,0.5122756690558038,0.7048300596482362,0.6287202485227517,0.4163543540293726,Medium,0.3663618432936917,0.6336381567063083,0.601925047412055,True,"Low tree cover, Low income area"
7,310.36789493205123,0.0163115857527799,0.2077516715137739,-0.2630439312532582,Z8,"{""type"":""Polygon"",""coordinates"":[[[72.62999852068243,22.975000915825813],[72.62999852068243,23.099998415558492],[72.5700012861179,23.099998460587155],[72.5700012861179,22.975000890432323],[72.62999852068243,22.975000915825813]]]}",ahmedabad_features,0.38659977235058096,0.8858664219251687,0.7407479974535277,0.4594944218702665,Medium,0.8661761457749352,0.13382385422506482,0.5974142020521334,True,"Low tree cover, High temperature, Dense urban area"
7,304.6852338518222,-0.0085545236809364,0.2238914303966153,-0.2343891633660067,Z8,"{""type"":""Polygon"",""coordinates"":[[[80.21999934834353,13.074998375988047],[80.21999934834353,13.200000377659006],[80.18000120232101,13.200000359702084],[80.18000120232101,13.074998387197592],[80.21999934834353,13.074998375988047]]]}",chennai_features,0.416557336211567,0.6933578365303583,0.6654916515356868,0.5029016721156716,Medium,0.5142344384136116,0.4857655615863884,0.5950589511051829,True,Low tree cover
7,310.00079457981883,0.04017668410943,0.2689892219214647,-0.3517738684729727,Z8,"{""type"":""Polygon"",""coordinates"":[[[73.96000117000168,18.519997794356673],[73.96000117000168,18.660000136769856],[73.89000222534351,18.660000162239793],[73.89000222534351,18.519997814315534],[73.96000117000168,18.519997794356673]]]}",pune_features,0.50026490454652,0.8734303521845205,0.812974820957173,0.325083192147175,Medium,0.8607305832563434,0.13926941674365656,0.5855699039597638,True,"Low tree cover, High temperature, Dense urban area"
2,308.4811333765406,0.0338294713832342,0.2967403502032867,-0.3825904476308337,Z3,"{""type"":""Polygon"",""coordinates"":[[[72.62999852068243,22.84999897218958],[72.62999852068243,22.975000915825813],[72.5700012861179,22.975000890432323],[72.5700012861179,22.849998904506524],[72.62999852068243,22.84999897218958]]]}",ahmedabad_features,0.5517747321562084,0.8219495715445672,0.7937652201223501,0.2784011541535002,Medium,0.7319939418114051,0.2680060581885949,0.5847808524800008,True,"Low tree cover, High temperature, Dense urban area"
1,306.1156221744711,0.0351406999976341,0.2899273341465577,-0.3506026540045628,Z2,"{""type"":""Polygon"",""coordinates"":[[[73.77799847097619,18.37999983718417],[73.77799847097619,18.44999881228124],[73.76400143465389,18.449998826992502],[73.76400143465389,18.379999871170828],[73.77799847097619,18.37999983718417]]]}",mumbai_features,0.5391288577607508,0.7418143657287004,0.7977336042576202,0.3268573890180534,Medium,0.6364104112637804,0.3635895887362196,0.5834071535880314,True,"Low tree cover, High temperature, Dense urban area"
9,302.3565022629941,0.0027439688930417,0.2742036886681595,-0.3386426675951033,Z10,"{""type"":""Polygon"",""coordinates"":[[[77.29900055894986,28.63999898298557],[77.35000158492622,28.639998935500326],[77.35000158492622,28.88000112956735],[77.29900055894986,28.88000118396684],[77.24799957081777,28.880001196125324],[77.24799957081777,28.639998953729645],[77.29900055894986,28.63999898298557]]]}",delhi_features,0.5099436563605368,0.6144685947472753,0.699686114797581,0.3449747970895395,Medium,0.4401524937396013,0.5598475062603987,0.5830589905414207,True,"Low tree cover, Dense urban area, Low income area"
4,306.84295914129643,0.0773140435741899,0.2558767313224512,-0.3706488657844017,Z5,"{""type"":""Polygon"",""coordinates"":[[[73.81999876329446,18.37999981151146],[73.81999876329446,18.449998825719046],[73.80600162611299,18.449998851778787],[73.80600162611299,18.37999984629191],[73.81999876329446,18.37999981151146]]]}",mumbai_features,0.47592635789610244,0.7664539859017283,0.9253696440317322,0.29649068234558423,Medium,0.907566473926093,0.09243352607390698,0.5764786726915841,True,"Low tree cover, High temperature, Dense urban area"
0,308.4164934056709,-0.1260182145777418,0.2865575464710446,-0.3393101963999392,Z1,"{""type"":""Polygon"",""coordinates"":[[[72.70999919790215,21.099997938072764],[72.70999919790215,21.224999959558613],[72.6500020014233,21.22499993169516],[72.6500020014233,21.099997979343215],[72.70999919790215,21.099997938072764]]]}",surat_features,0.5328740784781142,0.81975979651199,0.30999220444766756,0.3439636009775508,Medium,0.417411003148779,0.582588996851221,0.5736979955242025,True,"Low tree cover, High temperature, Low income area"
7,301.59116472507066,0.0351033294296963,0.2815159618888038,-0.3571865842549157,Z8,"{""type"":""Polygon"",""coordinates"":[[[77.63999920457495,13.00000076465603],[77.63999920457495,13.150000519106014],[77.55999842006972,13.150000513133332],[77.55999842006972,13.000000801424106],[77.63999920457495,13.00000076465603]]]}",bangalore_features,0.523516219220154,0.5885416487803945,0.7976205036378643,0.316883819903836,Medium,0.5247564316322378,0.47524356836776216,0.5730839536579009,True,"Low tree cover, Dense urban area"
8,305.0217090165668,0.0043386292084533,0.2660691970169489,-0.2840566896396148,Z9,"{""type"":""Polygon"",""coordinates"":[[[80.26000200905669,13.07499839965535],[80.26000200905669,13.200000381226616],[80.21999934834353,13.200000377659006],[80.21999934834353,13.074998375988047],[80.26000200905669,13.07499839965535]]]}",chennai_features,0.4948449454760223,0.7047564325527085,0.7045122943267094,0.42766355640272213,Medium,0.5924145688620425,0.40758543113795753,0.5721631992316961,True,"Low tree cover, Dense urban area"
6,308.7646340086085,0.0257895089634857,0.2958169899990783,-0.3563222987536136,Z7,"{""type"":""Polygon"",""coordinates"":[[[73.89000222534351,18.519997814315534],[73.89000222534351,18.660000162239793],[73.81999876329446,18.66000017423062],[73.81999876329446,18.519997823208755],[73.89000222534351,18.519997814315534]]]}",pune_features,0.5500608513922477,0.8315535765815394,0.7694325759409235,0.31819306997998775,Medium,0.8180147659224931,0.18198523407750689,0.5628627649363517,True,"Low tree cover, High temperature, Dense urban area"
0,307.1113173962815,0.0434788132581917,0.2997137090305718,-0.3769664659244645,Z1,"{""type"":""Polygon"",""coordinates"":[[[73.81999876329446,18.37999981151146],[73.81999876329446,18.519997823208755],[73.74999982887877,18.519997776503974],[73.74999982887877,18.379999825031273],[73.81999876329446,18.37999981151146]]]}",pune_features,0.5572936861626848,0.7755450204217936,0.8229685907564663,0.2869205594498369,Medium,0.8074401551640625,0.19255984483593747,0.5599633508923166,True,"Low tree cover, High temperature, Dense urban area"
2,305.5692947105091,0.0410433113625126,0.25432861305304,-0.3295199036829346,Z3,"{""type"":""Polygon"",""coordinates"":[[[75.80000021058267,26.750000034649915],[75.83999831919462,26.75000007748974],[75.83999831919462,26.92500197632252],[75.80000021058267,26.92500194801138],[75.76000207327802,26.925001994084802],[75.76000207327802,26.750000043347313],[75.80000021058267,26.750000034649915]]]}",jaipur_features,0.4730528421108356,0.7233067113455137,0.8155976357772261,0.3587942807309141,Medium,0.8287375091519293,0.17126249084807066,0.5596235406662344,True,"Low tree cover, Dense urban area"
7,305.6651760194528,0.0498850695645371,0.2953691749154571,-0.3917479657326311,Z8,"{""type"":""Polygon"",""coordinates"":[[[75.80000021058267,26.92500194801138],[75.83999831919462,26.92500197632252],[75.83999831919462,27.099999397257065],[75.80000021058267,27.099999394787204],[75.76000207327802,27.09999940169848],[75.76000207327802,26.925001994084802],[75.80000021058267,26.92500194801138]]]}",jaipur_features,0.5492296463499123,0.726554833112757,0.8423568847681936,0.26452902364329656,Medium,0.8021969807540397,0.19780301924596033,0.556331048573307,True,"Low tree cover, Dense urban area"
1,307.5285710063469,0.0345263605857649,0.2670136936460255,-0.3513989143870644,Z2,"{""type"":""Polygon"",""coordinates"":[[[73.89000222534351,18.379999828449453],[73.89000222534351,18.519997814315534],[73.81999876329446,18.519997823208755],[73.81999876329446,18.37999981151146],[73.89000222534351,18.379999828449453]]]}",pune_features,0.49659805828814296,0.7896801062716318,0.7958743291099003,0.3256511857844503,Medium,0.8960912999234932,0.10390870007650677,0.5560383798848063,True,"Low tree cover, High temperature, Dense urban area"
2,299.25386144595745,-0.0200261234028703,0.2990837565944707,-0.3224871118823295,Z3,"{""type"":""Polygon"",""coordinates"":[[[88.37999820761097,22.449999772274126],[88.37999820761097,22.575001758153544],[88.32000105210311,22.575001680691184],[88.32000105210311,22.449999783717576],[88.37999820761097,22.449999772274126]]]}",kolkata_features,0.5561244096901629,0.509362028256096,0.6307732859945825,0.36944780110887937,Medium,0.3308980248526492,0.6691019751473508,0.5519947919747448,True,"Low tree cover, Low income area"
3,308.0283361991408,0.0397622803131143,0.2914892708615263,-0.3681962718819504,Z4,"{""type"":""Polygon"",""coordinates"":[[[78.61999814249717,17.30000107202228],[78.61999814249717,17.450000803194648],[78.54000186464977,17.450000834989922],[78.54000186464977,17.30000115468713],[78.61999814249717,17.30000107202228]]]}",hyderabad_features,0.5420280224400471,0.8066103945531289,0.8117206434378336,0.30020595785201826,Medium,0.9093204020787821,0.09067959792121794,0.5489176122209849,True,"Low tree cover, High temperature, Dense urban area"
0,302.9730573267439,0.0095704011647607,0.2975891982048428,-0.3273817184453246,Z1,"{""type"":""Polygon"",""coordinates"":[[[80.13999863029491,12.950000885885297],[80.13999863029491,13.074998437280817],[80.10000048653322,13.074998426767241],[80.10000048653322,12.950000862307112],[80.13999863029491,12.950000885885297]]]}",chennai_features,0.553350308247492,0.6353553133927756,0.7203460555814264,0.36203327893341775,Medium,0.6118528947223795,0.38814710527762053,0.5423117373733426,True,"Low tree cover, Dense urban area"
1,306.7161047468957,-0.0122001792111309,0.3000880350563392,-0.3782837455170821,Z2,"{""type"":""Polygon"",""coordinates"":[[[75.82000151171877,22.599999484039053],[75.86000188481238,22.59999944486859],[75.86000188481238,22.79999904569321],[75.82000151171877,22.799999050004832],[75.78000107475978,22.799999004473595],[75.78000107475978,22.599999461359594],[75.82000151171877,22.599999484039053]]]}",indore_features,0.5579884856267385,0.762156604855697,0.6544582120501515,0.2849250979913842,Medium,0.7751328233611146,0.22486717663888545,0.537792262862064,True,High temperature
5,304.6377028778459,0.0313064934571195,0.3016082221336542,-0.3441384571883999,Z6,"{""type"":""Polygon"",""coordinates"":[[[80.13999863029491,13.074998437280817],[80.13999863029491,13.200000415667452],[80.10000048653322,13.200000361622186],[80.10000048653322,13.074998426767241],[80.13999863029491,13.074998437280817]]]}",chennai_features,0.5608101573617311,0.6917476541820838,0.7861295222236945,0.33664958171487747,Medium,0.7851759613930136,0.2148240386069864,0.5319131442204653,True,Dense urban area
2,307.73095569619045,0.0210788518787486,0.3114115065174459,-0.3798987395596802,Z3,"{""type"":""Polygon"",""coordinates"":[[[79.0750003605514,20.999998191851425],[79.12000160989884,20.99999817814699],[79.12000160989884,21.149997847685285],[79.0750003605514,21.149997909640067],[79.02999904725039,21.14999787361377],[79.02999904725039,20.999998179043775],[79.0750003605514,20.999998191851425]]]}",nagpur_features,0.5790063720701845,0.7965361882721752,0.7551759492653961,0.28247864821284385,Medium,0.9296976523425731,0.07030234765742693,0.524521132546999,True,"High temperature, Dense urban area"
3,297.76685986895694,-0.1350492047274012,0.3611245325629353,-0.34490568738669,Z4,"{""type"":""Polygon"",""coordinates"":[[[88.4399998642475,22.449999784677345],[88.4399998642475,22.575001760461625],[88.37999820761097,22.575001758153544],[88.37999820761097,22.449999772274126],[88.4399998642475,22.449999784677345]]]}",kolkata_features,0.6712804365894447,0.45898764097050343,0.28266025207711093,0.335487354425372,Medium,0.06355835028602363,0.9364416497139764,0.5095014115776172,True,Low income area
